source_type,layer,x1,y1,z1,x2,y2,z2
LWPOLYLINE,S123-BEAM-GL,723506.3941345603,-67025.01499852969,0.0,723506.3941345603,-53025.00124604117,0.0
LWPOLYLINE,STPM_RBEAM_SIG,723506.3941345603,-67025.01499852969,0.0,723506.3941345603,-66705.86606235948,0.0
LWPOLYLINE,S123-BEAM-GL,728956.4001922939,-57575.01534818168,0.0,732406.4001923229,-57575.02017337936,0.0
LWPOLYLINE,STPM_RBEAM_SIG,728956.4001922939,-57575.01534818168,0.0,729275.5491284637,-57575.01579454594,0.0
LWPOLYLINE,STPM_RBEAM_SIG,732087.251256153,-57575.01972701511,0.0,732406.4001923229,-57575.02017337936,0.0
LWPOLYLINE,S123-BEAM-GL,732906.3944867558,-53225.01499852936,0.0,732906.3998401273,-57125.01499852896,0.0
LWPOLYLINE,STPM_RBEAM_SIG,732906.3944867558,-53225.01499852936,0.0,732906.394936367,-53544.16393469926,0.0
LWPOLYLINE,STPM_RBEAM_SIG,732906.399390516,-56805.86606235907,0.0,732906.3998401273,-57125.01499852896,0.0
LWPOLYLINE,S123-BEAM-GL,733056.4001923227,-61125.01499852904,0.0,733056.4001923227,-58025.02604753396,0.0
LWPOLYLINE,STPM_RBEAM_SIG,733056.4001923227,-61125.01499852904,0.0,733056.4001923227,-60805.86606235883,0.0
LWPOLYLINE,STPM_RBEAM_SIG,733056.4001923227,-58344.17498370417,0.0,733056.4001923227,-58025.02604753396,0.0
LWPOLYLINE,S123-BEAM-GL,723506.3927107967,-78125.01499852957,0.0,723506.3941345603,-68225.01499852969,0.0
LWPOLYLINE,S123-BEAM-GL,723856.4001923427,-93575.02875101635,0.0,733456.3927107677,-93575.01499852959,0.0
LWPOLYLINE,STPM_RBEAM_SIG,733137.2437745975,-93575.01499852959,0.0,733456.3927107677,-93575.01499852959,0.0
LWPOLYLINE,S123-BEAM-GL,733806.3927107677,-98425.0101310875,0.0,728656.3941346084,-98425.0150135629,0.0
LWPOLYLINE,S123-BEAM-GL,728939.8402262861,-89228.20923377138,0.0,733637.2359565501,-93218.91610519786,0.0
LWPOLYLINE,STPM_RBEAM_SIG,733394.010708205,-93012.28231796523,0.0,733637.2359565501,-93218.91610519786,0.0
LWPOLYLINE,S123-BEAM-GL,734056.3927107677,-98525.01499852871,0.0,734056.3927107677,-94125.01499852959,0.0
LWPOLYLINE,STPM_RBEAM_SIG,734056.3927107677,-94444.16393469983,0.0,734056.3927107677,-94125.01499852959,0.0
LWPOLYLINE,S123-BEAM-GL,734056.3927107677,-93025.0149985296,0.0,734056.3927107677,-82125.01499852876,0.0
LWPOLYLINE,STPM_RBEAM_SIG,734056.3927107677,-93025.0149985296,0.0,734056.3927107677,-92705.86606235939,0.0
LWPOLYLINE,S123-BEAM-GL,718506.4018031368,-78525.01499852887,0.0,718506.4018031368,-67825.01499852864,0.0
LWPOLYLINE,S123-BEAM-GL,714006.3910582867,-67975.03318333394,0.0,714006.3926989615,-78374.99681369138,0.0
LWPOLYLINE,STPM_RBEAM_SIG,714006.3910582867,-67975.03318333394,0.0,714006.3910582867,-68294.18211950421,0.0
LWPOLYLINE,S123-BEAM-GL,722956.3941345315,-67625.01499852873,0.0,714356.416953421,-67625.01499852861,0.0
LWPOLYLINE,STPM_RBEAM_SIG,722956.3941345315,-67625.01499852873,0.0,722637.2451983611,-67625.01499852873,0.0
LWPOLYLINE,STPM_RBEAM_SIG,714356.416953421,-67625.01499852861,0.0,714675.5658895912,-67625.01499852861,0.0
LWPOLYLINE,S123-BEAM-GL,718506.4018031368,-62425.02409086877,0.0,718506.4018031368,-67425.0149985287,0.0
LWPOLYLINE,STPM_RBEAM_SIG,718506.4018031368,-62425.02409086877,0.0,718506.4018031368,-62744.17302703904,0.0
LWPOLYLINE,STPM_RBEAM_SIG,718506.4018031368,-67825.01499852864,0.0,718506.4018031368,-68144.16393469891,0.0
